Ticker,SICCD,DlyCalDt,DlyCap,DlyRet,DlyClose,sprtrn
JNJ,2834,2014-09-02,291504864.32,-0.003567,103.3600,-0.000544
JNJ,2834,2014-09-03,292632979.12,0.003870,103.7600,-0.000779
JNJ,2834,2014-09-04,292858602.08,0.000771,103.8400,-0.001534
JNJ,2834,2014-09-05,294494368.54,0.005586,104.4200,0.005036
JNJ,2834,2014-09-08,293450862.35,-0.003543,104.0500,-0.003073
JNJ,2834,2014-09-09,292745790.60,-0.002403,103.8000,-0.006545
JNJ,2834,2014-09-10,296101932.13,0.011464,104.9900,0.003646
JNJ,2834,2014-09-11,294861005.85,-0.004191,104.5500,0.000882
JNJ,2834,2014-09-12,294945614.46,0.000287,104.5800,-0.005963
JNJ,2834,2014-09-15,295340454.64,0.001339,104.7200,-0.000710
JNJ,2834,2014-09-16,298611987.56,0.011077,105.8800,0.007484
JNJ,2834,2014-09-17,299486276.53,0.002928,106.1900,0.001296
JNJ,2834,2014-09-18,302757809.45,0.010924,107.3500,0.004891
JNJ,2834,2014-09-19,304562793.13,0.005962,107.9900,-0.000477
JNJ,2834,2014-09-22,304252561.56,-0.001019,107.8800,-0.008013
JNJ,2834,2014-09-23,303068041.02,-0.003893,107.4600,-0.005776
JNJ,2834,2014-09-24,306395979.68,0.010981,108.6400,0.007832
JNJ,2834,2014-09-25,302052737.70,-0.014175,107.1000,-0.016169
JNJ,2834,2014-09-26,302052737.70,0.000000,107.1000,0.008576
JNJ,2834,2014-09-29,300473376.98,-0.005229,106.5400,-0.002547
JNJ,2834,2014-09-30,300614391.33,0.000469,106.5900,-0.002786
JNJ,2834,2014-10-01,294155934.10,-0.021484,104.3000,-0.013249
JNJ,2834,2014-10-02,292886804.95,-0.004314,103.8500,0.000005
JNJ,2834,2014-10-03,296496772.31,0.012325,105.1300,0.011166
JNJ,2834,2014-10-06,295735294.82,-0.002568,104.8600,-0.001565
JNJ,2834,2014-10-07,288769185.93,-0.023555,102.3900,-0.015126
JNJ,2834,2014-10-08,295876309.17,0.024612,104.9100,0.017462
JNJ,2834,2014-10-09,287894896.96,-0.026976,102.0800,-0.020661
JNJ,2834,2014-10-10,285497653.01,-0.008327,101.2300,-0.011451
JNJ,2834,2014-10-13,279546847.44,-0.020844,99.1200,-0.016468
